내용링크,제목,작가,별점,줄거리,태그,관심,이용가,몇화,이미지링크
/webtoon/list?titleId=806189,별난식당,HO9,9.96,"<요리GO>의 새로운 이야기,<별난식당>.
특급호텔에서 최연소 팀장에 오르며 승승장구하던 주인공 한별은 퇴사를 하고 작은 식당을 차린다.
그 식당의 이름은 '별난식당'.

별난식당은 상권이라고는 찾아볼 수 없는, 서울에서 제일 가난한 동네인 부자동에 위치해 있다.
또한 메뉴도 별나다. 바로 메뉴가 없기 때문이다. 메뉴가 없이 한별 셰프가 그때그때 제철 식재료를 이용해 요리를 만드는 식당이다.

이 식당의 특별한 점은 요리를 먹는 손님이 마음까지 위로 받는다는 것.
한별 셰프는 대체 어떠한 방법으로 마음의 상처가 있는 많은 손님들을 요리로 치유하는 것일까?",#드라마#지금추천작#힐링#직업드라마#음식&요리#성장드라마,111573,전체연령가,총 35화,https://image-comic.pstatic.net/webtoon/806189/32/thumbnail_202x120_1408f0be-2286-4732-a5d8-b32c887db780.jpg
/webtoon/list?titleId=796075,절대검감,김두루미 / 티아이 / 한중월야,9.95,"단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다.
어느 날, 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전, 혈교에 납치되던 그 날로 돌아가게 되고 검의 목소리를 듣는 신비한 능력을 얻는다.",#무협/사극#환골탈태#소설원작,119720,12세 이용가,총 50화,https://image-comic.pstatic.net/webtoon/796075/45/thumbnail_202x120_d8746806-21df-4df7-b662-28c61ae8ea89.jpg
/webtoon/list?titleId=814541,ㅋㅋ단편.zip,네이버웹툰 작가,9.77,"가볍고! 웃기고! 신선한! 단편들이 왔다!
신인, 기성 작가님들이 함께하는 릴레이 연재!
허전한 일상을 강렬하게 채워줄 
상상 이상의 단편이 매주 공개됩니다.",#개그,18597,전체연령가,총 9화,https://image-comic.pstatic.net/webtoon/814541/9/thumbnail_202x120_f3ff7a4b-d05f-46de-8874-c17133f9a200.jpg
/webtoon/list?titleId=801035,퍼니게임,배진수,9.59,"<머니게임>,<파이게임> 에서 실패를 맛본 주인공은, 마지막 <퍼니게임>에서
우승하기 위해 신체를 단련하고 정신을 다잡는다. 모든 참가자 중 본인만이
유일한 게임 경험자임을 확인한 주인공은, 승리를 위해 악마가 되기로 결심한다.",#스릴러,89309,15세 이용가,총 56화,https://image-comic.pstatic.net/webtoon/801035/51/thumbnail_202x120_c7da41e4-0aeb-42d5-80eb-42dbe3509e4e.jpg
/webtoon/list?titleId=759940,만렙돌파,"성불예정, 임형 / 미노",9.53,"알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.
그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 
만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",#판타지#고인물#게임판타지#먼치킨,248758,15세 이용가,총 115화,https://image-comic.pstatic.net/webtoon/759940/110/thumbnail_202x120_52289c93-4c25-4492-870e-e86dff57f789.jpg
/webtoon/list?titleId=768536,잔불의 기사,환댕,9.96,"유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다.
천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만,
동생의 복수를 위해 '강함'을 연기하기로 결심했다.
약해빠진 나는 복수에 성공할 수 있을까.",#판타지#세계관#판무#복수극,219869,15세 이용가,총 136화,https://image-comic.pstatic.net/webtoon/768536/133/thumbnail_202x120_d2a1c055-05a1-4e75-8927-42cb6c8f43ae.jpg
/webtoon/list?titleId=805907,나 없는 단톡방,봉수,9.93,"여고생 안효인은 학교에서 친구들과 잘 지내는 편이었다. 학급 내에서는 분위기 파악도 할 줄 알고 때에 따라 친구들을 적당히 웃기기도 했다. 
덕분에 그녀를 적대적으로 대하는 친구들은 거의 없었다. 그러나 어느 날 부터 효인은 영문도 모른 채 묘한 따돌림을 당하기 시작한다. 
스마트 폰을 뒤늦게 산 탓 때문일까. 심지어 효인만 없는 단톡방의 존재까지 알게 된다. 

""내가... 뭘... 잘못한 거지?""",#드라마#요즘핫한추천작#학원물,141723,12세 이용가,총 35화,https://image-comic.pstatic.net/webtoon/805907/32/thumbnail_202x120_d6e1cb5d-93d6-41ad-a489-83560ff79bbe.jpg
/webtoon/list?titleId=814594,개같이 탈출,갬쟈,9.95,"""살아남으라고? 나는 자그만 말티즈란 말이야!""

세상 따뜻하고 포근한 가정집에서 살아온 삐용이. 
언니 품에서 그저 귀엽기만 하면 되는 견생이었는데... 갑자기 가족들과 모든 인간이 사라져버렸다.
혼자서는 아무것도 할 줄 모르는데, 괴물 좀비 개들이 우글거리는 고립된 도시를 탈출해 언니를 만날 수 있을까?",#드라마#성장물#2022 지상최대공모전#무해한#힐링#좀비#동물,40886,전체연령가,총 9화,https://image-comic.pstatic.net/webtoon/814594/4/thumbnail_202x120_34e1f0fa-df46-4499-9d59-de464dca833d.jpg
/webtoon/list?titleId=761461,순정말고 순종,슈안,9.96,"하루에 무려 쓰리잡. 
스물 다섯 지언의 일과 끝에 남는 건 갑질에 시달린 스트레스와 돼지우리같은 집구석 뿐이다. 
그러다 어느날 얻게 된 인형 한 개. 이것만 있으면 대한민국의 탑 배우 남도윤을 가정부로 부려먹을 수있다...?!
2017 최강자전 대상 수상작 <늑대와 빨간모자> 슈안 작가의 차기작!",#로맨스#로맨스코미디#연예계#삼각관계,511555,15세 이용가,총 139화,https://image-comic.pstatic.net/webtoon/761461/133/thumbnail_202x120_5aa70c94-bc62-4f71-a088-104dbabde61b.jpg
/webtoon/list?titleId=814742,좀비묵시록 82-08,달아 / 경우 / 박스오피스,9.7,"탕-!

의문의 선박 속
'그것'으로부터 시작된 괴이한 전염병은
서울을 죽음의 도시로 만들어버린다.

예고 없이 닥쳐온 심판의 그날부터
세상의 모든 질서는 완전히 리셋되었다.

처절한 생존 경쟁 속에서
프로젝트명 [좀비묵시록 82-08]이 시작된다.",#액션#소설원작,24154,15세 이용가,총 13화,https://image-comic.pstatic.net/webtoon/814742/8/thumbnail_202x120_8bfbac3c-a2c3-4b12-a388-695420ff38fe.jpg
